,model,year,price,transmission,mileage,engine size,mileage2,fuel type2,engine size2
1005, C Class,2019,30500,Automatic,4999,145,44.8,Petrol,1.6
1006, C Class,2018,21160,Semi-Auto,13800,145,61.4,Diesel,2.1
1007, C Class,2019,26789,Semi-Auto,4680,145,45.6,Petrol,1.5
1008, C Class,2014,20495,Automatic,10,20,64.2,Diesel,2.1
1009, C Class,2016,29995,Semi-Auto,33977,260,35.3,Petrol,3.0
1010, C Class,2017,16495,Semi-Auto,30807,30,64.2,Diesel,2.1
1011, C Class,2017,16995,Semi-Auto,30256,145,64.2,Diesel,2.1
1012, C Class,2019,39995,Semi-Auto,9293,145,28.5,Petrol,3.0
1013, C Class,2020,44995,Semi-Auto,250,145,42.2,Petrol,2.0
1014, C Class,2017,23995,Automatic,33867,150,58.9,Diesel,2.1
1015, C Class,2015,12999,Manual,18766,125,53.3,Petrol,2.0
1016, C Class,2014,13390,Semi-Auto,43793,125,52.3,Petrol,2.0
1017, C Class,2017,18299,Semi-Auto,8552,145,50.4,Petrol,2.0
1018, C Class,2014,11000,Semi-Auto,71892,145,56.5,Diesel,2.1
1019, C Class,2015,16617,Automatic,27080,30,64.2,Diesel,2.1
1020, C Class,2018,22201,Semi-Auto,22318,145,67.3,Diesel,2.1
1021, C Class,2016,16999,Automatic,25448,125,51.4,Petrol,2.0
1022, C Class,2018,23299,Semi-Auto,17000,145,67.3,Diesel,2.1
1023, C Class,2019,31499,Automatic,2206,145,61.4,Diesel,2.0
1024, C Class,2019,29950,Automatic,4951,145,64.2,Diesel,2.0
1025, C Class,2019,31799,Automatic,999,145,46.3,Petrol,1.5
1026, C Class,2014,15990,Automatic,40997,125,60.1,Diesel,2.1
1027, C Class,2018,18999,Automatic,24863,145,50.4,Petrol,2.0
1028, C Class,2018,22595,Semi-Auto,14389,145,67.3,Diesel,2.1
1029, C Class,2014,10290,Semi-Auto,79216,145,53.3,Diesel,2.1
1030, C Class,2015,10700,Semi-Auto,58724,145,53.3,Diesel,2.1
1031, C Class,2018,23890,Semi-Auto,8194,145,64.2,Diesel,2.0
1032, C Class,2017,18481,Automatic,20179,145,61.4,Diesel,2.1
1033, C Class,2013,8751,Semi-Auto,91046,150,53.3,Diesel,2.1
1034, C Class,2015,11500,Manual,42918,125,53.3,Petrol,2.0
1035, C Class,2017,23999,Automatic,32688,200,40.9,Petrol,2.0
1036, C Class,2019,26999,Semi-Auto,6155,145,61.4,Diesel,2.0
1037, C Class,2015,14999,Manual,42785,20,68.9,Diesel,2.1
1038, C Class,2017,33499,Semi-Auto,30968,145,35.3,Petrol,3.0
1039, C Class,2017,19999,Semi-Auto,9453,145,64.2,Diesel,2.1
1040, C Class,2017,20799,Automatic,40355,160,44.1,Petrol,2.0
1041, C Class,2019,31999,Automatic,999,145,51.4,Diesel,2.0
1042, C Class,2019,31995,Automatic,999,145,64.2,Diesel,2.0
1043, C Class,2019,28880,Automatic,8439,145,57.7,Diesel,2.0
1044, C Class,2017,15450,Semi-Auto,36368,20,65.7,Diesel,2.1
1045, C Class,2019,19995,Automatic,13071,145,46.3,Petrol,1.5
1046, C Class,2019,31799,Semi-Auto,6805,145,42.2,Petrol,2.0
1047, C Class,2019,23295,Semi-Auto,15312,145,61.4,Diesel,2.0
1048, C Class,2017,18358,Automatic,39413,125,58.9,Diesel,2.1
1049, C Class,2019,31009,Automatic,2900,145,51.4,Diesel,2.0
1050, C Class,2019,29903,Automatic,1664,145,61.4,Diesel,2.0
1051, C Class,2019,22995,Semi-Auto,4374,145,46.3,Petrol,1.5
1052, C Class,2019,30845,Automatic,2065,145,64.2,Diesel,2.0
1053, C Class,2019,46755,Automatic,168,145,29.7,Petrol,3.0
1054, C Class,2019,30675,Automatic,1550,145,64.2,Diesel,2.0
1055, C Class,2016,16215,Semi-Auto,43559,20,64.2,Diesel,2.1
1056, C Class,2019,19394,Semi-Auto,14203,145,46.3,Petrol,1.5
1057, C Class,2016,21995,Semi-Auto,18998,150,49.6,Petrol,2.0
1058, C Class,2017,19545,Semi-Auto,32000,30,61.4,Diesel,2.1
1059, C Class,2017,18750,Semi-Auto,30000,150,65.7,Diesel,1.6
1060, C Class,2017,20995,Semi-Auto,14800,125,58.9,Diesel,2.1
1061, C Class,2015,16995,Manual,15000,20,68.9,Diesel,2.1
1062, C Class,2017,23890,Semi-Auto,23479,145,42.2,Petrol,2.0
1063, C Class,2016,18249,Automatic,36077,30,64.2,Diesel,2.1
1064, C Class,2017,22479,Semi-Auto,30200,145,67.3,Diesel,2.1
1065, C Class,2019,23825,Automatic,11135,145,44.1,Petrol,1.5
